"SP1","SP2","DISTANCE"
"astreptophora","bombina",346.1497
"astreptophora","variegata",346.1497
"astreptophora","marmoratus",346.1496
"astreptophora","pygmaeus",346.1496
"astreptophora","ivanbureschi",346.1496
"astreptophora","anatolicus",346.1496
"astreptophora","macedonicus",346.1496
"astreptophora","cristatus",346.1496
"astreptophora","montandoni",346.1496005
"astreptophora","vulgaris",346.1496005
"astreptophora","glareolus",316.63985
"astreptophora","rutilus",316.63985
"astreptophora","bocagei",185.8324
"astreptophora","guadarramae",185.8324
"astreptophora","virescens",185.8324
"astreptophora","hispanicus",185.8324
"astreptophora","vaucheri",185.8324
"astreptophora","carbonelli",185.8324
"astreptophora","liolepis",185.8324
"astreptophora","natrix",13.74
"astreptophora","astreptophora",0
"astreptophora","helvetica",7.28
"astreptophora","colchica",179.30235
"astreptophora","fragilis",179.30235
"astreptophora","orbicularis",294.42795
"astreptophora","trinacris",294.42795
"astreptophora","varius",294.4281
"astreptophora","ruber",294.4281
"astreptophora","nuchalis",294.4281
"astreptophora","salar",449.0726
"astreptophora","trutta",449.0726
"astreptophora","senegalensis",449.0726
"astreptophora","aegyptiaca",449.0726
"helvetica","bombina",346.1497
"helvetica","variegata",346.1497
"helvetica","marmoratus",346.1496
"helvetica","pygmaeus",346.1496
"helvetica","ivanbureschi",346.1496
"helvetica","anatolicus",346.1496
"helvetica","macedonicus",346.1496
"helvetica","cristatus",346.1496
"helvetica","montandoni",346.1496005
"helvetica","vulgaris",346.1496005
"helvetica","glareolus",316.63985
"helvetica","rutilus",316.63985
"helvetica","bocagei",185.8324
"helvetica","guadarramae",185.8324
"helvetica","virescens",185.8324
"helvetica","hispanicus",185.8324
"helvetica","vaucheri",185.8324
"helvetica","carbonelli",185.8324
"helvetica","liolepis",185.8324
"helvetica","natrix",13.74
"helvetica","astreptophora",7.28
"helvetica","helvetica",0
"helvetica","colchica",179.30235
"helvetica","fragilis",179.30235
"helvetica","orbicularis",294.42795
"helvetica","trinacris",294.42795
"helvetica","varius",294.4281
"helvetica","ruber",294.4281
"helvetica","nuchalis",294.4281
"helvetica","salar",449.0726
"helvetica","trutta",449.0726
"helvetica","senegalensis",449.0726
"helvetica","aegyptiaca",449.0726
"colchica","bombina",346.14975
"colchica","variegata",346.14975
"colchica","marmoratus",346.14965
"colchica","pygmaeus",346.14965
"colchica","ivanbureschi",346.14965
"colchica","anatolicus",346.14965
"colchica","macedonicus",346.14965
